"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"11","SPP1","CXCL8","MMP9","FFAR2","MMP12","CXCL5","IL6","CCL3","CSF3R","IL1B","SOCS3","PTGS2","CXCR1","CD83","MARCO","PGLYRP1","CEBPB","SOD2","ITGAX","PROK2","WNT5A","CXCR2","CXCL1","CXCL2","TNF","CCL2","ICAM1","CCL22","PPARGC1A","KIR3DL2","NFKBIA","ELANE","IL3RA","CCR10","IL4I1","CCL1","ITGA5","CCL8","CD68","CCL4","VTN","THBD","TNFRSF9","TSC2","CSF2","SOX2","SNAI1","CD274","CCL7","PTGDR2"
"12","PLVAP","GNLY","GZMA","CD2","CD3E","TRAC","IL2RB","VWF","TIGIT","CTSW","CXCR6","ITK","ICOS","CDH5","FOXP3","STAT4","TRBC1","CCL5","KLRB1","GZMH","TNFRSF4","NKG7","KLRK1","FLT4","CCR4","EOMES","TNFRSF18","GATA3","CD3G","ZAP70","CD28","MMRN2","KDR","NCR3","IKZF2","CTLA4","CLDN5","TRAT1","FASLG","PDCD1","CCR7","CXCR3","CLEC14A","CD5","ETS1","LAG3","NCAM1","CD40LG","PREX2","CCR5"
"13","NDUFA4L2","SLC26A3","PKIB","LRP1","CA9","TMEM37","NEDD4","LDHA","RORC","VEGFB","PTEN","PLOD2","FABP2","IFNGR2","INSR","NFE2L2","FZD7","EPCAM","ERBB3","ERBB2","CDH1","IDH1","IFNAR1","PTK2","ICOSLG","KRAS","TMEM59","CDKN1A","IFNB1","PPARGC1A","PIK3CA","PMS2","CD70","SPRY2","MMRN1","CREBBP","FGFR3","FCER2","ARAF","MSH3","TBX10","TBX3","TNFSF10","HLA.C","FLI1","TGFBR1","IFNG","TBK1","HLA.B","KIR3DL2"
"14","PCNA","MCM2","MCM6","E2F1","CDK2","MSH2","CCNE1","MSH6","DNMT1","MLH1","CHEK1","CDK4","RB1","CDCA7","BRCA1","RAF1","BAX","ICOSLG","SRPRB","MYBL2","AKT1","IRS1","EZH2","ATR","NFKB1","SMARCA4","IFITM1","CHEK2","FABP2","IDH1","ESCO2","EPHB4","PMS2","HDAC1","NFE2L2","TEAD4","CCL28","CASP8","MSH3","CD68","VEGFB","ASCL2","INSR","MAP2K1","MAML1","WNT3","SPRY2","HRAS","BRD4","PTEN"
"15","MYC","CD160","IL12A","RGMB","ARG1","IFNGR1","TEAD4","CCR8","SMARCA4","ATR","IGF1R","SPRY2","NOS3","SRPRB","TP53","CXCR5","FOSL1","AKT2","IRS1","FZD7","CEACAM8","EGFR","ROR1","MET","FGFR2","EPHA2","CASP8","IKBKB","PMS2","CCND1","WNT3","LRP6","CD40LG","STAT6","ICOSLG","TLR1","CCL1","COL4A1","MAFB","FGFBP2","SHARPIN","COL6A3","HLA.DMA","PPARGC1A","IFITM1","CHEK2","NKG7","CCR5","KLRG1","PTK2"
"16","DDIT3","VEGFA","CA7","ROS1","TNFSF9","WNT3A","PPARD","PMS2","PLOD2","IL5RA","AKT2","RELA","LAMP3","ITGA5","PDK1","TCL1A","BRD4","CD70","AMOTL2","TBX3","SOX2","CA9","CCR10","CCL1","ICOSLG","CD68","STAT6","CREBBP","HDAC3","LRP1","IL6R","TCF7L2","CCR8","IKBKB","IRF3","INSR","CASP8","TSC1","BRAF","CEBPB","ATM","SH2D1B","JUN","IKZF4","CR2","ATF3","CD177","PTGDR2","IGF1R","PIK3CA"
"17","MUC2","SRC","IKBKB","CDH1","ERBB3","IFNB1","SHARPIN","APC","BAK1","EPCAM","ARAF","STAT6","TGFB2","PTK2","TEAD1","NOS3","NLRC5","CREBBP","CCL28","TBK1","MTOR","ERBB2","EPHB4","FGFR3","CSF2","TSC2","FABP2","FCER2","LRP6","AKT2","CASP8","TCL1A","MSH3","IRS1","IL22","CD68","KRAS","SMARCA4","HRAS","INSR","MAML1","KIR2DL4","ATM","LRP5","PMS2","TMEM37","HLA.B","MPO","EGFR","ICOSLG"
"18","MZB1","CD79A","POU2AF1","FCRL5","IRF4","XBP1","DERL3","CD19","CD79B","CD27","TNFRSF13C","STAP1","VSIR","ICAM3","IFNAR2","BLK","TMEM59","ICAM2","PECAM1","CD22","PIK3CG","ATM","BMI1","PDK1","IL6R","CCR2","FCER2","HLA.C","IL5RA","XCR1","MS4A1","VEGFB","IFNAR1","SELPLG","PAX5","CTSG","MFAP5","TNFRSF13B","CXCR4","SRPRB","SOX2","ARAF","CR2","IL13","KIT","TCL1A","PPARGC1A","GZMB","CAV1","MMP2"
"19","CXCL11","CXCL10","IDO1","CX3CL1","STAT1","TAP1","BTLA","CSF3","TNFSF10","FGFBP2","TAP2","TAPBP","CIITA","MUC4","BST2","IL4","HLA.B","MUC1","LGALS9","IL21","EPHA4","HLA.DMA","LAMP3","FLI1","HLA.DRA","IFNG","KIR2DL4","MPO","CCL17","HLA.DRB1","CASP8","NOS2","CCL7","CD274","CLEC4C","SELP","HLA.C","VTN","STAT3","FCER2","CXCL9","NFKB1","PRTN3","CD177","NLRC5","TGFB2","STAT5A","FCER1A","CCR10","TSC2"
"20","EPHB3","TBX10","CDKN1B","CTNNB1","TGFBI","SPRY2","IFNAR1","PIK3CA","IL12B","CASP8","PTEN","VEGFB","TBK1","SMAD2","MSH3","CCL7","ARAF","BMI1","EPHB4","EGF","PTK2","ATR","STAT3","NFE2L2","CREBBP","HDAC3","PMS2","MAML1","CD276","DNMT3A","NFKB1","IFITM1","BST2","ASCL2","SOX2","BRAF","TCL1A","DIABLO","LGALS9","SMARCA4","APC","TGFBR1","TGFBR2","CDH1","STAT6","ATM","KRAS","LRP6","SHARPIN","IL21"
