"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"11","VEGFA","TNFSF9","DDIT3","CA7","ROS1","TCF7L2","ICOSLG","WNT3A","WNT3","PMS2","PLOD2","PPARD","STAT6","RELA","IFNGR1","BRD4","AKT2","HDAC3","LRP1","IL5RA","TCL1A","PDK1","IKBKB","TBX3","KRAS","PTGDR2","CREBBP","IRF3","CCL1","PTK2","CEBPB","NEDD4","CCR10","APC","CD276","AMOTL2","MAML1","MUC1","CD68","TSC1","BAK1","PDGFA","BRAF","PIK3CA","IGF1R","FGFR3","CD70","IKZF4","FGFR2","SMAD2"
"12","NDUFA4L2","SLC26A3","PKIB","CA9","LRP1","NEDD4","LDHA","IFNGR2","PLOD2","CDKN1A","VEGFB","FABP2","EPCAM","PTEN","RORC","NFE2L2","TGFB2","TMEM37","FZD7","IFNB1","IFNAR1","CCL1","KIR3DL2","CDH1","PTK2","KRAS","IFNG","IDH1","PPARGC1A","TMEM59","HLA.C","IL17A","ERBB3","ERBB2","HLA.B","NRAS","SMAD2","ITGB1","TBX3","TGFBR1","FCER2","CCR3","FLI1","SPRY2","TAPBP","CXCL16","PKM","MAP2K1","SIGLEC1","SELP"
"13","GNLY","GZMA","CD2","CD3E","TRAC","IL2RB","TIGIT","CCL5","CTSW","ITK","CXCR6","TRBC1","FOXP3","ICOS","STAT4","CCR4","EOMES","GZMH","CD28","NKG7","PDCD1","CD3G","ZAP70","GATA3","KLRB1","NCR3","TNFRSF18","CD5","FASLG","KLRK1","CXCR3","NCAM1","CCR5","GZMK","TRAT1","LAG3","IKZF2","CD40LG","SH2D1B","CTLA4","BCL2","IL12RB2","KLRG1","CCR7","CCL4","PTPRC","PRF1","KIT","GZMB","CXCR4"
"14","CSF1R","LYZ","C1QC","MRC1","SPP1","FCGR3A","MMP12","CD163","TREM2","MSR1","CYBB","CD14","CD86","TLR2","CSF2RA","ITGAM","CD209","IL4I1","MMP9","HLA.DQA1","PDCD1LG2","FCGR2A","CMKLR1","MARCO","CCL8","CX3CR1","TLR1","MAFB","IRF5","CCR1","HLA.DPB1","CXCL16","SIGLEC1","CD1C","IL10","ITGAX","HAVCR2","CD40","ITGB2","TGM2","CD4","IL13","PDK4","IDO2","CCL2","CD80","HLA.DPA1","TGFBR1","PTGDR2","PDGFC"
"15","SOX9","IGF1","YAP1","IKZF4","BRD4","CR2","CXCL12","CREBBP","JUN","RELA","CCL17","IFNB1","SPRY2","MAML1","TBX21","CCL11","KIR3DL2","CDH1","SHARPIN","PDGFC","PTK2","CCL7","CD276","IL4","CXCL16","LGR5","TCF7L2","EGF","KLRC1","IL1R2","IL17A","CEACAM8","KLRF1","TSC2","WNT3","KRAS","EPHB4","MTOR","CD177","LGR6","MPO","PROK2","HRAS","VEGFB","HDAC1","ERBB2","LGALS9","CD160","KIR2DL4","TEAD4"
"16","MCM6","E2F1","MCM2","MSH6","CCNE1","PCNA","MSH2","CDK2","DNMT1","RB1","CHEK1","MLH1","AKT1","CDCA7","BRCA1","CDK4","MYBL2","MAP2K1","EZH2","NFE2L2","TEAD4","CD207","WNT3","HRAS","CD68","ICOSLG","BAX","BRD4","IRS1","ESCO2","SRPRB","CCL28","RAF1","CHEK2","ATR","CD276","SMARCA4","NEDD4","MTOR","PTK2","CD83","HDAC1","MSH3","EPHB4","IGF1R","VEGFB","CCL1","EGFR","TGFBR1","RGMB"
"17","MUC2","MYC","IL12A","CD160","EPHB4","ARG1","IFNGR1","IRS1","CCL1","SHARPIN","BAK1","PTK2","ATR","HRAS","FOSL1","CD1B","TEAD1","TEAD4","SMARCA4","NFKB1","STAT6","TSC2","ICOSLG","PPARGC1A","CD68","MTOR","CD276","IKBKB","CSF2","WNT3","RGMB","BRD4","MAML1","EGFR","CCR3","MET","YAP1","CCND1","PDGFC","TP53","CASP8","HDAC3","CCL7","DUSP6","IRF3","TGFB2","ELANE","NOS3","AKT1","NLRC5"
"18","AXIN2","CCR6","PRKCA","LEF1","TP63","KLRC1","FGFR3","CCL11","TBX3","LRP5","BRAF","TGFBR3","AKT2","IRF3","LGR6","LRP6","FZD7","SLC13A3","CREBBP","MSH3","IKBKB","ERBB2","STAT6","PIK3CA","MTOR","PMS2","APC","MAML1","PTGDR2","TSC1","SHARPIN","SMARCA4","CDK6","NFE2L2","IKZF4","TBK1","IL22","WNT3","PTK2","IGF1R","NEDD4","SRC","MPO","TSC2","SMAD2","NOTCH1","YAP1","IFITM1","ATR","CSF2"
"19","LAMC2","LAMB3","MMP7","FGF2","BCL2L1","EPHA2","GPX3","AMOTL2","PDGFA","ZBED2","ITGB1","MET","EGFR","DKK1","IL17A","RET","PPARD","CCND1","TEAD1","CD276","FOSL1","CCR3","LMNA","NFKB2","IL23A","CXCL1","KRAS","CCL1","RELA","BAK1","TCL1A","HRAS","PTK2","IGF1R","CCL26","APC","CR2","TSC2","MTOR","PDGFC","BRD4","IRF3","CREBBP","TGFBR1","CSF2","PIK3CA","TBK1","SHARPIN","STAT6","ARAF"
"20","PKM","NRAS","DIABLO","IDH1","HDAC1","RELA","HDAC3","SMAD2","BAX","LMNA","KRAS","NFKB1","IFITM1","VEGFB","LGALS9","HRAS","CCL7","CCND1","BAK1","BRD4","CTNNB1","TGFB2","BST2","LDHA","MAP2K1","CCR3","PDGFC","STAT3","CD276","CEBPB","JAK1","CDK4","YAP1","CCL11","BMI1","HIF1A","SHARPIN","NFE2L2","SELL","PTK2","PTEN","SELP","CXCL12","KLRC1","CD244","MUC4","CXCL16","SOD2","PPARGC1A","IL17A"
