"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"11","VEGFA","DDIT3","TNFSF9","TCF7L2","CA7","ROS1","ICOSLG","WNT3A","FABP2","PAX5","PRTN3","KIR2DL4","FCER1A","CLEC4C","CCR6","CXCR1","STAP1","CTSG","MARCO","SIGLEC1","TNF","CD22","EPHA4","CXCL5","TGFB2","PKIB","IGF1","LEF1","NCAM1","SELP","NLRC5","ELN","PDK4","MMP7","SLC13A3","FGF2","CXCL1","FFAR2","CCL2","CSF3","MSR1","SELPLG","CXCL16","SMOC2","AKT3","CSF2RA","BMI1","PDCD1","CD19","CD163"
"12","NDUFA4L2","CA9","SLC26A3","LRP1","LDHA","PKIB","CDKN1A","IFNGR2","PLOD2","NEDD4","TSC2","CCL7","IL13","TCL1A","CD1E","ELANE","CD160","IDO2","IL5RA","CD1B","FGFBP2","PAX5","RET","PRTN3","CR2","ROR1","CSF2","ANGPT1","CXCR5","CCL11","CCL8","ATM","CCL17","CXCR1","LGR5","MARCO","CCR2","CXCL2","CASP8","TNF","WNT5A","BLK","IL6","LOX","CXCL5","NCR1","LEF1","NCAM1","IL2RA","NLRC5"
"13","GNLY","GZMA","CD2","CD3E","TRAC","IL2RB","CCL5","CTSW","ZAP70","TIGIT","FOXP3","CXCR6","TRBC1","NKG7","CXCR4","ITK","CD5","STAT4","CCR4","PTPRC","TNFRSF18","GATA3","KLRK1","CD28","IKZF2","BCL2","PDCD1","KLRB1","CSF1","EOMES","CD3G","CCR5","ICOS","GZMH","GZMB","CXCR3","CTLA4","GZMK","JAK1","FASLG","CD40LG","LAG3","CCR7","KIT","ETS1","NCAM1","PRF1","CCL4","ITGA4","TGFB1"
"14","C1QC","LYZ","SPP1","FCGR3A","CSF1R","CYBB","CD14","MMP12","MRC1","MMP9","HLA.DQA1","HLA.DPB1","FCGR2A","IL4I1","TREM2","CD163","ITGAM","TLR2","MAFB","MSR1","CSF2RA","CD86","ITGB2","CMKLR1","CD209","CD40","CD4","PDCD1LG2","CCR1","HAVCR2","ITGAX","CX3CR1","CXCL16","TLR1","MARCO","CCL8","IRF5","SIGLEC1","PDK4","CCL2","CD1C","HLA.DPA1","IL10","TGFBR1","CD80","TGM2","IDO2","IL13","PDGFC","PTGDR2"
"15","SOX9","YAP1","IGF1","IKZF4","PTGDR2","CCL1","VTN","TCL1A","CCL28","PPARGC1A","FLI1","TP63","ELANE","IDO2","FABP2","CD1B","RET","TNFRSF13B","CD207","MMP2","XCR1","CSF2","ANGPT1","FGF1","HGF","ATM","TMEM59","NCR3","ESCO2","DKK1","PMS2","SH2D1B","SOX2","CCR2","CXCL2","PTEN","CASP8","TNF","WNT5A","EPHA4","BLK","IL6","CXCL5","PKIB","CX3CR1","IL23A","LEF1","ICOSLG","RORC","NCAM1"
"16","MCM2","MCM6","PCNA","E2F1","MSH6","CDK2","MSH2","CDCA7","MYBL2","CDK4","AKT1","CCNE1","BRCA1","RB1","CHEK1","DNMT1","MLH1","EZH2","NFE2L2","MAP2K1","TEAD4","WNT3","CD207","HRAS","CR2","TBX10","CD177","CCL11","CD80","CEACAM8","CLEC4C","TMEM59","FCER2","DKK1","LGR5","CD22","PDPN","EPHA4","IGF1","RORC","SELP","MFAP5","NLRC5","MMP7","LAG3","CCL22","CXCL1","FFAR2","CSF3","TBX21"
"17","MYC","MUC2","EPHB4","IL12A","IFNGR1","IRS1","CD160","SHARPIN","BAK1","ARG1","PTK2","ATR","CCL1","IL21","TP63","IDO2","FABP2","PAX5","TBX10","FCER1A","TMEM59","SELL","ESCO2","FCER2","DKK1","LGR5","IRF5","TNF","EPHA4","IL6","PROK2","IGF1","IL23A","LEF1","RORC","PDCD1LG2","SELP","MFAP5","MMP7","CD274","SLC13A3","FGF2","TGFBR3","FFAR2","CSF3","TBX21","FGFR3","DNMT3A","SNAI2","CSF2RA"
"18","AXIN2","PRKCA","LGR6","LRP5","ERBB2","TBX3","IRF3","LEF1","STAT6","FZD7","FGFR3","CREBBP","CCR6","AKT2","BRAF","KLRC1","TGFBR3","LRP6","MSH3","IKBKB","CCL11","SLC13A3","TP63","PIK3CA","PMS2","MTOR","APC","IL21","FABP2","CR2","KIR2DL4","CD177","IFNG","IL12RB2","CLEC4C","FGFR2","FCER2","MUC4","MMRN1","CD22","WNT5A","TGFB2","PKIB","CX3CR1","SELP","TEK","MMP7","HLA.DPA1","FGF2","CXCL1"
"19","LAMC2","LAMB3","EPHA2","BCL2L1","ITGB1","GPX3","AMOTL2","MET","ZBED2","EGFR","PDGFA","PPARD","CCND1","MMP7","FGF2","TEAD1","DKK1","RET","CD276","IL17A","FOSL1","KLRF1","TBX10","XCR1","CCL11","CD70","CA7","WNT5A","CXCL12","IL6","PROK2","CX3CR1","LEF1","ICOSLG","ELN","SLC13A3","CD40LG","CXCR3","PRF1","KLRB1","TNFRSF4","IL3RA","MYH11","KIT","CCR5","CLDN5","ITGAX","ITGA1","KLRK1","IRS1"
"20","PKM","HDAC1","IDH1","NRAS","DIABLO","RELA","LMNA","SMAD2","BAX","HDAC3","NFKB1","KRAS","IFITM1","VEGFB","LGALS9","PTGDR2","PGLYRP1","IL13","CD68","TCL1A","XCL1","CCL28","IL22","ELANE","IL10","IDO2","CD1B","RET","MPO","ROR1","MMP2","CSF2","ANGPT1","CXCR5","CEACAM8","ATM","FGFR2","TMEM59","NCR3","ESCO2","LGR5","PMS2","SMO","IRF5","CCR2","CXCL2","CASP8","BLK","IL6","CXCL5"
